coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Jul 28 09:31:07 +0000 2021,koronawirus,https://twitter.com/MZ_GOV_PL/status/1420304268393807877/photo/1,,0,1420315877073883138,,,,pl,,false,,10,1420304268393807877,MZ_GOV_PL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","📊 W ciągu doby wykonano ponad 39,1 tys. testów na #koronawirus. https://t.co/FmVByR4JaX",https://twitter.com/NFZ_GOV_PL/status/1420315877073883138,Fri Jan 29 10:33:28 +0000 2016,4829904913,false,Finansujemy zdrowie Polaków | Oficjalny profil NFZ | #⃣ #DietyNFZ #ZdroweDane #Profilaktyka40Plus | 📞 Bezpłatne infolinie: 800 190 590 #NFZ i 989 #SzczepimySię,8650,41575,1016,94,Polska,Narodowy Fundusz Zdrowia,NFZ_GOV_PL,11726,,https://linktr.ee/NFZ_GOV_PL,true
,Wed Jul 28 10:43:40 +0000 2021,,,,0,1420334132819812353,,,,pl,,,,2,1420330693293342730,Tygodnik_Sieci,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Studentka z Toskanii, która otrzymała w maju przez pomyłkę sześć dawek szczepionki przeciwko Covid-19, nie dostała unijnej przepustki, uprawniającej do podróży i wejścia do wielu miejsc.

#koronawirus

https://t.co/89zw62B5fN",https://twitter.com/JacekWojciecho4/status/1420334132819812353,Tue Jul 25 17:27:50 +0000 2017,889900010334244866,false,"Jacek Maria Wojciechowicz, dr n. przyr.,/D.N.Sc./, psychoterapeuta, superwizor psychoterapii.",42023,201,137,1,,JM. WOJCIECHOWICZ,JacekWojciecho4,58715,,,false
,Wed Jul 28 09:49:44 +0000 2021,PiS koronawirus niedzielski morawiecki zdrajcy pinokio NowyWał COVID19 segregacja pisPOjednozlo nazisci faszysci szczepimysie nieszczepimysie,,https://twitter.com/DoRzeczy_pl/status/1420303175307956228,0,1420320561062981633,,,,pl,,false,1420303175307956228,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#PiS już oficjalnie wprowadza NAZISTOWSKĄ SEGREGACJĘ ❗❗
#koronawirus #niedzielski #morawiecki #zdrajcy #pinokio #NowyWał #COVID19 #segregacja #pisPOjednozlo #nazisci #faszysci #szczepimysie #nieszczepimysie https://t.co/eKgzas84rs",https://twitter.com/Swiadomy86/status/1420320561062981633,Tue May 27 06:34:55 +0000 2014,2526713370,false,"Głosowałem na PiS..... przepraszam 😔
STOP NAZISTOWSKIEJ SEGREGACJI POLAKÓW
NIE! DLA LOCKDOWN.U ZABIJAJĄCEGO MAŁYCH I ŚREDNICH PRZEDSIĘBIORCÓW!",32720,3183,2914,14,,JPNZ🇵🇱🇵🇱🇵🇱🇵🇱,Swiadomy86,49747,,,false
,Wed Jul 28 09:12:57 +0000 2021,hotel koronawirus COVID19,,"http://www.tur-info.pl/a/50446,,izba-gospodarcza-hotelarstwa-polskiego.html?utm_source=twitter&utm_medium=social&utm_campaign=daily",2,1420311304003334146,IGHP_Hotelarze,,1374398120029679600,pl,,false,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@IGHP_Hotelarze apeluje o zachowanie ciągłości i przewidywalności świadczenia usług hotelarskich #hotel #koronawirus #COVID19 
https://t.co/FiPyemxLm1",https://twitter.com/turinfopl/status/1420311304003334146,Fri Jul 08 07:48:21 +0000 2016,751322010844880900,false,"TUR-INFO.PL to pierwszy internetowy serwis informacyjny dla osób
zawodowo związanych z turystyką.",54,551,509,15,Polska,TUR-INFO.PL,turinfopl,7221,,http://www.tur-info.pl,false
,Wed Jul 28 08:59:45 +0000 2021,,,"https://wydarzenia.interia.pl/raporty/raport-koronawirus-chiny/aktualnosci/news-wlochy-dostala-szesc-dawek-szczepionki-nie-ma-przepustki,nId,5385515",1,1420307981481222149,,,,pl,,false,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jaja jak berety, tylko kobiety w tym całym covidovym bajzlu szkoda 😬
https://t.co/If2vDeuSRu",https://twitter.com/prymulk80440781/status/1420307981481222149,Thu Jan 07 17:15:19 +0000 2021,1347230111842635778,false,,11859,341,914,0,Polska,prymulka 🤫,prymulk80440781,4326,,,false
,Wed Jul 28 10:30:00 +0000 2021,koronawirus,,https://wpolityce.pl/swiat/560332-studentka-dostala-6-dawek-szczepionki-ale-nie-ma-przepustki,3,1420330693293342730,,,,pl,,false,,2,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Studentka z Toskanii, która otrzymała w maju przez pomyłkę sześć dawek szczepionki przeciwko Covid-19, nie dostała unijnej przepustki, uprawniającej do podróży i wejścia do wielu miejsc.

#koronawirus

https://t.co/89zw62B5fN",https://twitter.com/Tygodnik_Sieci/status/1420330693293342730,Wed Feb 13 05:43:41 +0000 2013,1174027946,false,Odważny tygodnik młodej Polski.,495,65101,174,218,Polska,Tygodnik Sieci,Tygodnik_Sieci,30762,,http://wsieciprawdy.pl/,false
,Wed Jul 28 11:05:36 +0000 2021,,,"https://wiadomosci.dziennik.pl/polityka/artykuly/8217048,gowin-szczepionka-obostrzenia-koronawirus-covid-19.html?utm_source=dlvr.it&utm_medium=twitter",0,1420339650699296769,,,,pl,,false,,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Gowin o zaszczepionych: Trzeba dać gwarancję, że nie obejmą ich ewentualne obostrzenia https://t.co/xcsBoxm2Wb",https://twitter.com/DziennikPL/status/1420339650699296769,Wed Jan 13 15:49:56 +0000 2010,104521525,false,"Najnowsze wiadomości, informacje, wydarzenia, komentarze, opinie, rozrywka, sport.",747,58245,1152,353,Polska,Dziennik.pl,DziennikPL,163762,,http://www.dziennik.pl,true
,Wed Jul 28 10:46:44 +0000 2021,,,https://wiadomosci.tvp.pl/55090865/koronawirus-polska-i-swiat,0,1420334903493894144,,,,pl,,false,,1,1420329897298436098,WiadomosciTVP,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Koronawirus: Polska i świat
https://t.co/L74KvOGjYk",https://twitter.com/Leonniezawodowy/status/1420334903493894144,Wed Mar 17 04:09:47 +0000 2021,1372037400050929665,false,,4509,640,125,0,,Leon Niezawodowy,Leonniezawodowy,505,,,false
,Wed Jul 28 10:43:19 +0000 2021,,,,0,1420334043900612612,,,,pl,,,,37,1420327445522259971,synxchaosu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Włochy. Absurdy covidowego świata.

Studentce omyłkowo podano na raz sześć dawek szczepionki Pfizera, mimo to nikt nie chce wziąć odpowiedzialności za wydanie jej paszportu szczepionkowego. Kobieta od września nie będę mogła chodzić na uniwersytet.

https://t.co/K7erAhmNZl",https://twitter.com/DariuszPeszko/status/1420334043900612612,Wed Nov 18 07:43:52 +0000 2015,4216248351,true,,132452,546,1786,1,Warszawa ,Dariusz Peszko,DariuszPeszko,22673,,,false
,Wed Jul 28 10:18:11 +0000 2021,,,,0,1420327720672710658,,,,pl,,,,2,1420095492336275464,TasakNarodowy,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A w polskich szpitalach następna paranoja.
Pacjent musi być zbadany na koronawirus/ zaszczepiony by był przyjęty na oddział do szpitala, ale nie sprawdza się w szpitalu czy są zdrowi/ zaszczepieni koronawirus przychodzący do pacjentów rodzina/ znajomi w odwiedziny.
DEBILNY SYSTEM",https://twitter.com/TasakNarodowy/status/1420327720672710658,Sun Sep 17 20:18:27 +0000 2017,909511889100640256,false,"Bo wciąż na jawie widzę

i co noc mi się śni,

że Ta, co nie zginęła,

wyrośnie z naszej krwi..",40136,4641,4986,14,"Warszawa, Polska",PRAWO I PIĘŚĆ 🇵🇱 TASAK NARODOWY,TasakNarodowy,73268,,,false
